F__sref,SchType,SchName,Payam,County,State,Lat,Lon
SRU,SEC,St Joseph'S Secondary School,Juba,Juba,Central Equatoria,4.84724,31.6037767
JNT,SEC,Juba International Senior Scondary School,Juba,Juba,Central Equatoria,4.8483183,31.5890383
SSG,SEC,Sacred Heart Secondary School,Juba,Juba,Central Equatoria,4.8490589,31.5866869
JSU,SEC,Juba Technical Secondary School,Juba,Juba,Central Equatoria,4.8459889,31.5953956
FSA,SEC,Future English Academic Secondary,Juba,Juba,Central Equatoria,4.8466492,31.6091398
RKN,SEC,Rokon T.T.U Secondary School,Juba,Juba,Central Equatoria,5.259667,31.235666
DLP,SEC,Development Secondary School,Juba,Juba,Central Equatoria,4.84174,31.592905
SXT,SEC,Merryland Academy Secondary School,Juba,Juba,Central Equatoria,4.830195,31.61184
JDS,SEC,Juba Day Secondary School,Juba,Juba,Central Equatoria,4.8460223,31.6005199
BDW,SEC,Bilal Secondary School,Juba,Juba,Central Equatoria,4.8616675,31.5880759
JGR,SEC,Juba Girls Secondary School,Juba,Juba,Central Equatoria,4.8507696,31.6042411
MJE,SEC,Mahad Juba Elim Secondary School,Juba,Juba,Central Equatoria,4.8336833,31.61063
EVE,ALP,Leaders Evening Alp Primary School,Kator,Juba,Central Equatoria,4.81947,31.5851883
BSY,ECD,Bright Star Nursery School,Kator,Juba,Central Equatoria,4.8219276,31.573265
KFH,ECD,Kator Neighborhood Centre Pre School,Kator,Juba,Central Equatoria,4.8305802,31.5965886
FAD,ECD,Faith Academy And Kindergarten School,Kator,Juba,Central Equatoria,4.832556,31.5889462
NQZ,ECD,Malakia Nursery School,Kator,Juba,Central Equatoria,4.8348156,31.6050994
NUH,ECD,New Nation Nursery School,Kator,Juba,Central Equatoria,4.8287633,31.5839967
JEE,ECD,Jerusalem Academy Nursery School,Kator,Juba,Central Equatoria,4.8198367,31.587165
HNN,ECD,Shinning Star Academy And Kindergarten School,Kator,Juba,Central Equatoria,4.8311817,31.5997883
CNM,ECD,Malakia Neigbour Centre School,Kator,Juba,Central Equatoria,4.8348163,31.6026227
GPM,ECD,Grace Nursery School,Kator,Juba,Central Equatoria,4.8164067,31.58126
UNJ,ECD,United People International Nursery School,Kator,Juba,Central Equatoria,4.8155033,31.5780717
AWX,ECD,Ambassadors Nursery School,Kator,Juba,Central Equatoria,4.819626,31.5807616
CPU,ECD,Ecss Purti Star Nursery School,Kator,Juba,Central Equatoria,4.8343417,31.5763867
BMY,ECD,Blue Nile Nursery School,Kator,Juba,Central Equatoria,4.8327733,31.5879517
FNS,ECD,Flag Nursery School,Kator,Juba,Central Equatoria,4.8285233,31.5764583
GAH,ECD,Giada Mps Nursery School,Kator,Juba,Central Equatoria,4.8309855,31.5820522
HLG,ECD,Holy Nation International Nursery School,Kator,Juba,Central Equatoria,4.8236817,31.5683017
SNM,ECD,Mahad Nursery School,Kator,Juba,Central Equatoria,4.8318501,31.6117297
SKH,ECD,St. Theresa'S Kindergarten Pre - School,Kator,Juba,Central Equatoria,4.826625,31.60190833
ATG,ECD,Akatgol Church Nursery School,Kator,Juba,Central Equatoria,4.822905,31.5770233
ESC,ECD,Eden Nursery School,Kator,Juba,Central Equatoria,4.8320666,31.5803457
FUC,ECD,Future Garden Nursery School,Kator,Juba,Central Equatoria,4.82433,31.590925
LQK,ECD,Lologo Nursery School,Kator,Juba,Central Equatoria,4.8186533,31.5939317
LDS,ECD,Leaders Nursery School,Kator,Juba,Central Equatoria,4.8195117,31.5849017
RRQ,ECD,Narrow Gate Nursery School,Kator,Juba,Central Equatoria,3.8263923,31.6744407
JBN,ECD,Joborona Nursery School,Kator,Juba,Central Equatoria,4.834297,31.580997
GPL,PRI,Grace Primary School,Kator,Juba,Central Equatoria,4.816515,31.5811333
LDY,PRI,Leaders Primary School,Kator,Juba,Central Equatoria,4.81954,31.5849783
BTW,PRI,Blue Nile Primary School,Kator,Juba,Central Equatoria,4.83243,31.5885417
EBO,PRI,Elgiada Boy Primary School,Kator,Juba,Central Equatoria,4.828625,31.5873167
GDB,PRI,Giada Model Basic School,Kator,Juba,Central Equatoria,4.8310883,31.5821617
SEV,PRI,Salaam Evening Primary School,Kator,Juba,Central Equatoria,4.828565,31.5874764
BGS,PRI,Bright Star Primary School,Kator,Juba,Central Equatoria,4.821968,31.5732702
TLA,PRI,Atlabara East Basic,Kator,Juba,Central Equatoria,4.8380952,31.5960771
FGP,PRI,Future Garden Primary School,Kator,Juba,Central Equatoria,4.826251667,31.59459333
EDP,PRI,Eden Primary School,Kator,Juba,Central Equatoria,4.8328722,31.5810591
PFO,PRI,Mahad Primary School,Kator,Juba,Central Equatoria,4.8316867,31.6112417
SJB,PRI,St Josephine Bakita Primary School,Kator,Juba,Central Equatoria,4.8271133,31.60293
JID,PRI,Jaborana Idp Primary School,Kator,Juba,Central Equatoria,4.8343313,31.5809952
ERC,PRI,E.C.S Purti Star Nursery And Primary School,Kator,Juba,Central Equatoria,4.8343383,31.57613
MLD,PRI,Malakia Primary School,Kator,Juba,Central Equatoria,4.8374317,31.6027467
JPA,PRI,Jerusalem Academy Primary School,Kator,Juba,Central Equatoria,4.8195483,31.5870567
LJC,PRI,Lologo Primary School,Kator,Juba,Central Equatoria,4.818375,31.5937967
FPR,PRI,Flag Primary School,Kator,Juba,Central Equatoria,4.828405,31.5766083
RRK,PRI,Narrow Gate Primary School,Kator,Juba,Central Equatoria,4.831313333,31.57478833
UPI,PRI,United People International Primary School,Kator,Juba,Central Equatoria,4.8155267,31.5780783
EPS,PRI,El-Salam Primary School,Kator,Juba,Central Equatoria,4.8325551,31.596445
KGL,PRI,Akatgol Church (Pcss) Primary School,Kator,Juba,Central Equatoria,4.8229029,31.5768955
ALS,PRI,Al-Salam B Basic School,Kator,Juba,Central Equatoria,4.8329072,31.5965739
NWX,PRI,New Nation Primary School,Kator,Juba,Central Equatoria,4.8288433,31.5839983
SHT,PRI,Shining Star Academy Primary School,Kator,Juba,Central Equatoria,4.83109,31.6002883
FTA,PRI,Faith Academy Primary School,Kator,Juba,Central Equatoria,4.832325,31.58881333
GAI,PRI,Giada Girl Primary School,Kator,Juba,Central Equatoria,4.8280683,31.5872
EZI,PRI,St. Theresa Basic,Kator,Juba,Central Equatoria,4.826108333,31.601135
HNI,PRI,Holy Nation International Primary School,Kator,Juba,Central Equatoria,4.8238305,31.5682856
GIH,SEC,Glory International Secondary School,Kator,Juba,Central Equatoria,4.832558333,31.57853333
JPH,SEC,Juba Parents High School,Kator,Juba,Central Equatoria,4.82932,31.5756517
BIK,SEC,Blue Nile High School,Kator,Juba,Central Equatoria,4.83257,31.5890467
JUU,SEC,Juba Sunrise Secondary School,Kator,Juba,Central Equatoria,4.8328028,31.6095902
FGS,SEC,Future Garden Secondary School,Kator,Juba,Central Equatoria,4.824245,31.5911217
CBN,SEC,Comboni Secondary School,Kator,Juba,Central Equatoria,4.825905,31.60120833
KVJ,SEC,Kator High School,Kator,Juba,Central Equatoria,4.8280761,31.5871215
SKP,SEC,Sky Secondary School,Kator,Juba,Central Equatoria,4.83168,31.6110983
FTM,SEC,Fatim Bint Fakhro S. S,Kator,Juba,Central Equatoria,4.8310655,31.609088
EWS,SEC,New Palace Secondary School,Kator,Juba,Central Equatoria,4.8315018,31.5827759
TGE,SEC,Tiger Academy Secondary School,Kator,Juba,Central Equatoria,4.82817,31.5837235
SHC,SEC,Shiek Hamdan Bin Rashid,Kator,Juba,Central Equatoria,4.8316083,31.60885
BQP,SEC,Blue Nile Secondary School,Kator,Juba,Central Equatoria,4.83256,31.5904383
LHQ,SEC,Lohana High School,Kator,Juba,Central Equatoria,4.8706667,31.5672183
SUX,SEC,Sunrise High School,Kator,Juba,Central Equatoria,4.83262,31.5888567
LRK,PRI,Lirya Primary School,Lirya,Juba,Central Equatoria,4.6423733,32.0792767
LLY,PRI,Illyangari,Lirya,Juba,Central Equatoria,4.67482,32.0337183
LPF,PRI,Langabu Primary School,Lirya,Juba,Central Equatoria,4.6320433,32.0764717
NGW,PRI,Ngangalla Primary,Lirya,Juba,Central Equatoria,4.7048402,31.9197826
NEL,PRI,Ngulere Primary,Lirya,Juba,Central Equatoria,4.6929383,31.9625367
LIU,SEC,Lirya Secondary School,Lirya,Juba,Central Equatoria,4.6392617,32.0769233
KYP,PRI,Kaypeto Primary,Lobonok,Juba,Central Equatoria,4.1192798,31.7021823
WBB,PRI,Worduk Basic School,Lobonok,Juba,Central Equatoria,4.328328,31.6013096
LBN,PRI,Lobonok Primary,Lobonok,Juba,Central Equatoria,4.294721,31.625623
PGF,PRI,Pager Primary School,Lobonok,Juba,Central Equatoria,4.1996529,31.6362855
YPB,PRI,Yapa Primary,Lobonok,Juba,Central Equatoria,4.2444349,31.651607
YPA,SEC,Yapa National Secondary School,Lobonok,Juba,Central Equatoria,4.244588,31.6515995
DBG,ECD,Don Bosco Nursery School,Lokiliri,Juba,Central Equatoria,4.6939804,31.7126288
JUN,ECD,Jukokwe Nursery School,Lokiliri,Juba,Central Equatoria,4.6861917,31.7015333
LKL,PRI,Lokiliri Primary,Lokiliri,Juba,Central Equatoria,4.5743498,31.9377703
DBF,PRI,Don Bosco Primary School,Lokiliri,Juba,Central Equatoria,4.6940117,31.7126867
JKW,PRI,Jukokwe Primary School,Lokiliri,Juba,Central Equatoria,4.686215,31.7011567
JUC,SEC,Juba Academy,Lokiliri,Juba,Central Equatoria,4.6588126,31.7108644
HSC,ALP,Hosanna Junior Alp Centre,Mangala,Juba,Central Equatoria,4.8047127,31.6548022
VNT,ECD,Mary Help Of Christian Nursery,Mangala,Juba,Central Equatoria,4.8918783,31.847075
HSB,ECD,Hosanna Junior Nursery School,Mangala,Juba,Central Equatoria,4.8046711,31.6548135
WSL,ECD,Wangar Nursery School,Mangala,Juba,Central Equatoria,4.8213225,31.6297687
TUA,PRI,Tukoro Basic School,Mangala,Juba,Central Equatoria,5.0817366,31.7242566
JIJ,PRI,Jokoki Primary School,Mangala,Juba,Central Equatoria,5.0869264,31.7235598
GTY,PRI,St. Thomas Primary,Mangala,Juba,Central Equatoria,5.20189,31.7727183
LLM,PRI,Liliri Primary School,Mangala,Juba,Central Equatoria,5.0388301,31.7071399
HSA,PRI,Hasanna Junior Primary School,Mangala,Juba,Central Equatoria,4.8046813,31.6548303
JRM,PRI,Jabur Primary School,Mangala,Juba,Central Equatoria,4.994005,31.8664633
WXO,PRI,Wangar Nursery And Primary School,Mangala,Juba,Central Equatoria,4.8213248,31.6297867
KVS,PRI,Mary Help Of Christians Primary School,Mangala,Juba,Central Equatoria,4.8919183,31.847065
BFM,PRI,Bilinyang Primary School,Mangala,Juba,Central Equatoria,4.8576933,31.7777767
MNS,PRI,Mangalla B Basic School,Mangala,Juba,Central Equatoria,5.1320434,31.7499935
MNM,PRI,Mangalla A Primary School,Mangala,Juba,Central Equatoria,5.20033,31.77158
HNA,ALP,Homing Dove Alp Centre,Munuki,Juba,Central Equatoria,4.8559433,31.5746283
SSZ,ECD,St Peter The Apostle Nursery School,Munuki,Juba,Central Equatoria,4.8659301,31.5613002
RCF,ECD,Merciful Nursery School,Munuki,Juba,Central Equatoria,4.86516,31.56773
YMG,ECD,Ymca Hai Mauna Nursery School,Munuki,Juba,Central Equatoria,4.848315,31.5704717
GZM,ECD,Pearl Group Nursery School,Munuki,Juba,Central Equatoria,4.8622,31.5492983
FAK,ECD,Faith Academy Kindergarden School,Munuki,Juba,Central Equatoria,4.841181,31.5833764
BJC,ECD,Bira Nursery School,Munuki,Juba,Central Equatoria,4.8392017,31.55764
PWO,ECD,Munuki East Pre School,Munuki,Juba,Central Equatoria,4.8615396,31.5792504
DIB,ECD,Dreamland International Academy Nursery,Munuki,Juba,Central Equatoria,4.8411233,31.5635167
NEI,ECD,New Apostolic Church Nursery School,Munuki,Juba,Central Equatoria,4.8684341,31.5778489
HPE,ECD,Mentor Nursery School,Munuki,Juba,Central Equatoria,4.8552284,31.5631553
SHF,ECD,Shinning Star Academy Nursery School,Munuki,Juba,Central Equatoria,4.8295425,31.5664812
GUY,ECD,Ginana Nursery School,Munuki,Juba,Central Equatoria,4.8416867,31.5780367
HMN,ECD,Homing Dove International Nursery School,Munuki,Juba,Central Equatoria,4.8561533,31.5743667
FNB,ECD,Future Birds Nursery School,Munuki,Juba,Central Equatoria,4.8684955,31.5466919
SNW,ECD,St. Elizabeth Of Hungary Nursery School,Munuki,Juba,Central Equatoria,4.8398542,31.56551
HPY,ECD,Happy Angels Academy Nursery School,Munuki,Juba,Central Equatoria,4.85664,31.542195
JJN,ECD,Jada Jedid Nursery School,Munuki,Juba,Central Equatoria,4.8786667,31.5666333
SLN,ECD,Star Light Nursery School,Munuki,Juba,Central Equatoria,4.8686374,31.5443981
DDS,ECD,Dmi St Bakhita Nursery School,Munuki,Juba,Central Equatoria,4.8450383,31.5698733
PHF,ECD,Philip New Hope Nursery School,Munuki,Juba,Central Equatoria,4.870171667,31.56950833
DEW,ECD,Destiny Kids Nursery School,Munuki,Juba,Central Equatoria,4.8496633,31.572075
SVE,ECD,Seventh Day Adventist Nursery School,Munuki,Juba,Central Equatoria,4.8575152,31.5771769
JEJ,ECD,Jubilee Academy Nursery School,Munuki,Juba,Central Equatoria,4.871415,31.5679
RCS,ECD,Mercy Nursery School,Munuki,Juba,Central Equatoria,4.8587867,31.5514667
GFV,ECD,Golden Future Nursery School,Munuki,Juba,Central Equatoria,4.8774087,31.5474391
BYR,ECD,Bright Boma Star Nursey School,Munuki,Juba,Central Equatoria,4.88064,31.5518733
NHP,ECD,Nyakuron Central Academy Nursery School,Munuki,Juba,Central Equatoria,4.8407167,31.576005
NOL,ECD,Libiya 1 Nursery School,Munuki,Juba,Central Equatoria,4.8705842,31.5688812
ATB,ECD,Atlabara West Nursery School,Munuki,Juba,Central Equatoria,4.8390583,31.587895
AWJ,ECD,A.I.C Nursey School,Munuki,Juba,Central Equatoria,4.866298333,31.55710833
TSD,ECD,Tatama Nursery School,Munuki,Juba,Central Equatoria,4.84804,31.5705817
GEO,ECD,Genesis Nursery School,Munuki,Juba,Central Equatoria,4.881005,31.5497317
LVC,ECD,Love And Peace Nurserey School,Munuki,Juba,Central Equatoria,4.8794512,31.579451
JAF,ECD,Rajaf Diocese Model Nursery School,Munuki,Juba,Central Equatoria,4.8413817,31.5664933
SPO,ECD,South Powers Nursery School,Munuki,Juba,Central Equatoria,4.8898217,31.5560383
GUJ,ECD,Gudele East 1 Nursery School,Munuki,Juba,Central Equatoria,4.8743117,31.550085
JUH,ECD,Juba Modern Nursery School,,Munuki,Central Equatoria,4.8819833,31.566985
VPN,ECD,Vip Academy Nursery School,Munuki,Juba,Central Equatoria,4.8640127,31.5643132
RAU,ECD,Rainbow Nursery School,Munuki,Juba,Central Equatoria,4.83668,31.5676567
SCF,ECD,St Juluth Nusery School,Munuki,Juba,Central Equatoria,4.8644783,31.5482533
TQW,ECD,Taqwa Junior Academy Nursery School,Munuki,Juba,Central Equatoria,4.8787433,31.564015
DPN,ECD,Diplomatic Nursery School,Munuki,Juba,Central Equatoria,4.84214,31.5710833
CDA,ECD,City Dove Academy Nursery School,Munuki,Juba,Central Equatoria,4.8753967,31.572555
DMI,ECD,Mary Nursery School,Munuki,Juba,Central Equatoria,4.8391018,31.5593726
LDN,ECD,Lucia Didi Nursery School,Munuki,Juba,Central Equatoria,4.8720883,31.547
CEW,ECD,Aic New Foundation Nursery School,Munuki,Juba,Central Equatoria,4.8406723,31.580946
UNN,ECD,Munuki Nursery School,Munuki,Juba,Central Equatoria,4.8740823,31.5690676
PTW,ECD,Pita Nursery School,Munuki,Juba,Central Equatoria,4.874246,31.5629627
EMS,ECD,Emmanuel Nursery School,Munuki,Juba,Central Equatoria,4.854785,31.5645883
FSC,ECD,Ffeda Pre School,Munuki,Juba,Central Equatoria,4.8691517,31.572375
VCN,ECD,Victorious Nursery School,Munuki,Juba,Central Equatoria,4.8796753,31.5705331
NEX,ECD,New Testament Pre School,Munuki,Juba,Central Equatoria,4.88659,31.558145
CTC,ECD,City Dove Academy Nursery School,Munuki,Juba,Central Equatoria,4.8753483,31.572445
HFN,ECD,Holy Family Nursery School,Munuki,Juba,Central Equatoria,4.865775,31.57098
CNS,ECD,Holy Spirit Nursery School,Munuki,Juba,Central Equatoria,4.8715467,31.5796733
SZE,ECD,Success Child Care Nursery School,Munuki,Juba,Central Equatoria,4.8503372,31.5562796
CYN,ECD,City Star Nursery School,Munuki,Juba,Central Equatoria,4.858831667,31.55296
