F__sref,SchType,SchName,Payam,County,State,Lat,Lon
WCG,PRI,Wechkey Primary School,Puchuol,Uror (Wunror),Jonglei,8.1331867,31.9470517
PUX,SEC,Pulchuol Secondary,Puchuol,Uror (Wunror),Jonglei,8.1220217,31.9480267
PMP,PRI,Pimpiny,Tiam,Uror (Wunror),Jonglei,7.9060259,31.886328
NKK,PRI,Panyang Primary School,Tiam,Uror (Wunror),Jonglei,7.9027409,31.9231854
TPF,PRI,Pulthaakbil Primary School,Tiam,Uror (Wunror),Jonglei,7.8990136,31.9036201
KEG,PRI,Kuer Gew,Tiam,Uror (Wunror),Jonglei,7.7789387,31.7879659
YNF,PRI,Yian Primary School.,Tiam,Uror (Wunror),Jonglei,7.905105,31.892875
PMB,PRI,Pamai Primary School,Tiam,Uror (Wunror),Jonglei,7.7954823,31.8800345
HRG,PRI,Horgot Primary School,Tiam,Uror (Wunror),Jonglei,7.7941889,31.7911095
KYT,PRI,Uleng Primary School,Uror,Uror (Wunror),Jonglei,7.9001548,31.8845873
KOT,PRI,Kuelluot,Uror,Uror (Wunror),Jonglei,7.941767,31.882233
RRE,PRI,Uror Primary School.,Uror,Uror (Wunror),Jonglei,7.911645,31.927138
NYJ,PRI,Nyajaar(Yuai) Primary School,Uror,Uror (Wunror),Jonglei,7.9027408,31.8905563
KEI,PRI,Kueli Primary School,Uror,Uror (Wunror),Jonglei,7.903711,31.8914759
JUT,ALP,Pajut Alp Primary,Wech Khol,Uror (Wunror),Jonglei,7.754075,31.692275
TUH,PRI,Turuk Primary,Wech Khol,Uror (Wunror),Jonglei,7.75118,31.67858
NSP,PRI,Ngop Primary School,Wech Khol,Uror (Wunror),Jonglei,8.1730333,31.9306533
BXR,PRI,Baan Primary,Wech Khol,Uror (Wunror),Jonglei,7.7500283,31.690185
DPF,PRI,Dakawan Primary,Wech Khol,Uror (Wunror),Jonglei,7.82223,31.69047
CTN,PRI,Kactong Primary School,Wech Khol,Uror (Wunror),Jonglei,7.8297783,31.707135
KOH,PRI,Kuerthuom Primary School,Wech Khol,Uror (Wunror),Jonglei,7.7993282,31.8811054
SSW,PRI,St. Michael Primary School,Wech Khol,Uror (Wunror),Jonglei,7.7352894,31.6853345
PGL,PRI,Pagalang Primary School,Wech Khol,Uror (Wunror),Jonglei,7.7447174,31.690551
UPA,PRI,United Panyang Primary,Wech Khol,Uror (Wunror),Jonglei,7.7446467,31.69052
PQV,PRI,Papengder Primary,Wech Khol,Uror (Wunror),Jonglei,7.7341633,31.68658
KYR,PRI,Kueryakah Primary,Yuai,Uror (Wunror),Jonglei,7.8964537,31.8846699
DHO,PRI,Dhuony Primary School,Yuai,Uror (Wunror),Jonglei,7.9084025,31.9279569
BUT,PRI,Abuot-Bai Primary School,Abuyung,Awerial,Lakes,6.2933117,31.0504
MQX,PRI,Makur Primary School,Abuyung,Awerial,Lakes,6.3950617,31.15041
MBV,PRI,Mabor-Adhiak Primary School,Abuyung,Awerial,Lakes,6.3361,31.0983533
ASL,PRI,Aleel Primary School,Aleel,Awerial,Lakes,6.245545,30.9552667
JRB,PRI,Jarweng Primary School,Aleel,Awerial,Lakes,6.226449,31.1837256
BUO,PRI,Bunagok Comboni Primary School,Banagok,Awerial,Lakes,6.211605,30.9937933
HVE,PRI,Wunthoou Primary School,Banagok,Awerial,Lakes,6.1889067,31.4728883
BUE,PRI,Bunagok Central Primary School,Banagok,Awerial,Lakes,6.2161367,30.9948717
RGD,PRI,Riaga Primary School,Banagok,Awerial,Lakes,6.142585,31.1590617
DRK,PRI,Dor Primary School,Dor,Awerial,Lakes,6.044825,31.276635
CEN,PRI,Awerial Complex Primary School,Dor,Awerial,Lakes,6.124575,31.17043
MZG,PRI,Manjur Primary School,Magok,Awerial,Lakes,6.113775,31.1947433
TAC,PRI,Thon Acak Primary School,Puluk,Awerial,Lakes,6.0420133,31.507465
VLI,PRI,Pan-Nhial Primary School,Puluk,Awerial,Lakes,6.0573067,31.5042467
GFH,PRI,Glorious Primary School,Puluk,Awerial,Lakes,6.04412,31.4967667
KLH,PRI,Kalthok Primary School,Puluk,Awerial,Lakes,5.8830983,31.5737
MQB,PRI,Malual Tuk Primary School,Puluk,Awerial,Lakes,5.8986632,31.5612146
TMD,PRI,Tom-Rok Primary School,Puluk,Awerial,Lakes,6.0526141,31.4838291
TDY,PRI,Thian-Wei Primary School,Puluk,Awerial,Lakes,5.9735655,31.5388262
KMB,PRI,Kamic Primary School,Puluk,Awerial,Lakes,5.8580983,31.6100567
PDA,PRI,Padar Primary School,Puluk,Awerial,Lakes,6.061435,31.491935
SRL,PRI,St Paul Girls Primary School,Puluk,Awerial,Lakes,6.04927,31.5151217
KQD,PRI,King Palace Primary School,Puluk,Awerial,Lakes,6.0406983,31.49429
MSF,PRI,Mingkaman Primary School,Puluk,Awerial,Lakes,6.0470533,31.515495
TTM,PRI,Matt Academy Primary School,Puluk,Awerial,Lakes,6.0399133,31.4988
HHD,SEC,Hidden Light Secondary School,Puluk,Awerial,Lakes,6.0508717,31.515395
PQA,PRI,Pan-Rup Primary School,Abiriu,Cueibet,Lakes,7.0209117,29.23277
CBO,PRI,Cueibet Boys Primary School,Abiriu,Cueibet,Lakes,7.0551309,29.0655242
AEP,PRI,Abiriu Ecs Primary,Abiriu,Cueibet,Lakes,6.8854841,29.4273303
AMU,PRI,Amol But Primary School,Abiriu,Cueibet,Lakes,6.8854578,29.4272414
MRO,PRI,Marial Akeng Primary School,Abiriu,Cueibet,Lakes,6.9387388,29.4229507
MFR,PRI,Mediit Primary School,Abiriu,Cueibet,Lakes,7.021265,29.2326683
BIH,PRI,Abiriu Light House Primary School,Abiriu,Cueibet,Lakes,6.8853581,29.427117
CUE,PRI,Cueibet Girls Primary School,Abiriu,Cueibet,Lakes,6.8073648,29.6844572
ABO,PRI,Abiriu Boys Primary School,Abiriu,Cueibet,Lakes,6.8854851,29.4273297
BLN,PRI,Biling-Anger Primary School,Abiriu,Cueibet,Lakes,6.8854821,29.4272616
MTH,PRI,Ameth-Duol Primary School,Abiriu,Cueibet,Lakes,6.885432,29.427218
KUR,PRI,Akur-Dau Primary School,Abiriu,Cueibet,Lakes,6.8853108,29.4272038
KWP,PRI,Kubur William Primary School,Abiriu,Cueibet,Lakes,6.8854035,29.42745
YHY,PRI,Yinhayuar Primary School,Abiriu,Cueibet,Lakes,6.8961575,29.3846039
APQ,PRI,Angeer Primary School,Abiriu,Cueibet,Lakes,6.9387287,29.4228929
CEB,SEC,Cueibet Secondary,Abiriu,Cueibet,Lakes,7.0129175,29.2495522
CPI,PRI,Cuei Primary School,Chitchok,Cueibet,Lakes,7.0210817,29.2322717
TPB,PRI,Tiap - Tiap Primary School,Chitchok,Cueibet,Lakes,7.32391,29.32354
CHT,PRI,Chitcok Primary School,Chitchok,Cueibet,Lakes,7.2448483,29.228925
MTV,PRI,Mathiangtiit,Chitchok,Cueibet,Lakes,7.0136995,29.2494986
TII,PRI,Marial Tiit Primary School,Chitchok,Cueibet,Lakes,7.0136367,29.24952
MKF,PRI,Maker-Aramthai Primary School,Cueibet,Cueibet,Lakes,6.8851638,29.4280194
PXV,PRI,Progressive Primary School,Cueibet,Cueibet,Lakes,7.0164622,29.2437146
KMP,PRI,Kampil Primary School,Cueibet,Cueibet,Lakes,6.8854502,29.4271568
MYA,PRI,Mayanthon Primary School,Cueibet,Cueibet,Lakes,6.9728352,29.2219405
SQC,PRI,St.Mary'S Primary School,Cueibet,Cueibet,Lakes,7.0629239,29.0918156
AVH,PRI,Akolcien Primary School,Cueibet,Cueibet,Lakes,7.0132076,29.2563874
MBD,PRI,Mabil Primary School,Cueibet,Cueibet,Lakes,7.01378,29.2493617
PSE,PRI,Ecss Primary School,Cueibet,Cueibet,Lakes,7.0551919,29.065501
CET,PRI,Ciec Teng Primary School,Cueibet,Cueibet,Lakes,7.0266034,29.2217907
FVC,SEC,Fr.Victor Luk Odhiambo Memorial Secondary Sch,Cueibet,Cueibet,Lakes,7.0124748,29.2518356
YTB,PRI,Yith-Magok Primary School,Duony,Cueibet,Lakes,6.9388224,29.422978
AOH,PRI,Achol Malek Primary School,Duony,Cueibet,Lakes,7.02586,29.2123191
DHD,PRI,Adhodhic Primary School,Duony,Cueibet,Lakes,6.9799087,29.3461315
PNR,PRI,Panarak Primary School,Duony,Cueibet,Lakes,6.8854361,29.4273684
MGU,PRI,Magumbil Primary School,Duony,Cueibet,Lakes,6.9383751,29.4225297
ACP,PRI,Abiey Cok Primary School,Duony,Cueibet,Lakes,6.885457,29.4271584
AMG,PRI,Anek Mathiang Girls Primary School,Duony,Cueibet,Lakes,6.8853541,29.4272986
GYA,PRI,Agany Primary School,Malou Pec,Cueibet,Lakes,6.807409,29.6844095
LGI,PRI,Langdit Girls Primary School,Malou Pec,Cueibet,Lakes,7.0551153,29.0654606
RCU,PRI,Ror Cuol Akhol Primary School,Malou Pec,Cueibet,Lakes,7.1666656,28.8875227
EUS,PRI,Makuec Deng Malek Primary School,Malou Pec,Cueibet,Lakes,7.0137756,29.2493882
CGU,PRI,Aciguel Primary School,Malou Pec,Cueibet,Lakes,6.8194153,29.6737044
JAK,PRI,Ajak-Angau Primary School,Malou Pec,Cueibet,Lakes,7.0892977,29.0680913
MGG,PRI,Magokic Primary School,Malou Pec,Cueibet,Lakes,7.0551003,29.0654844
REO,PRI,Ireneo-Dut Primary School,Malou Pec,Cueibet,Lakes,7.0196162,29.1502104
WAI,PRI,Waibak Girls Primary School,Malou Pec,Cueibet,Lakes,7.0626765,29.0918015
BRK,PRI,Bargel Primary School,Malou Pec,Cueibet,Lakes,7.0237978,29.1543915
MJH,PRI,Majak Primary School,Malou Pec,Cueibet,Lakes,6.9218296,29.0818162
PNX,PRI,Pangeu Primary School,Malou Pec,Cueibet,Lakes,6.9217075,29.0818041
WLO,PRI,Warbuoi Location Primary School,Malou Pec,Cueibet,Lakes,6.9665807,29.0936096
LHV,PRI,Langdit Light House Primary School,Malou Pec,Cueibet,Lakes,7.0656759,29.0895442
MPE,PRI,Malou Pec Primary School,Malou Pec,Cueibet,Lakes,7.1076695,29.028664
PWF,PRI,Pawu Primary School,Malou Pec,Cueibet,Lakes,7.0551963,29.0655613
SOS,PRI,St. Bhakita Iii Primary School,Malou Pec,Cueibet,Lakes,7.0553515,29.0657064
MYG,PRI,Mayath Girls Primary School,Mayath,Cueibet,Lakes,6.9387285,29.4229138
GEM,PRI,Aguemdit Primary School,Mayath,Cueibet,Lakes,6.995354,29.332246
ATV,ALP,All Saint Alp Centre,Ngap,Cueibet,Lakes,7.0117547,29.248912
NIA,PRI,Anyiwei Primary School,Ngap,Cueibet,Lakes,6.8854805,29.4271689
NGX,PRI,Ngap Primary School,Ngap,Cueibet,Lakes,6.6188366,30.6423743
PNQ,PRI,Pancuei Primary,Ngap,Cueibet,Lakes,7.0553354,29.065504
AGO,PRI,Agangrial Comboni Primary School,Ngap,Cueibet,Lakes,7.0552866,29.0653117
CEM,PRI,Acemenyi Primary School,Ngap,Cueibet,Lakes,6.9405384,29.2295717
GKT,PRI,Gokthiar Primary School,Ngap,Cueibet,Lakes,7.0664265,29.0851941
MYU,PRI,Malou Yuol Primary School,Ngap,Cueibet,Lakes,7.0551537,29.0654039
DHE,PRI,Adheeth Primary School,Pagor,Cueibet,Lakes,7.0693217,29.4186517
ALU,PRI,Aleul Guet Primary School,Pagor,Cueibet,Lakes,7.0209136,29.2327717
PGJ,PRI,Pagor Primary School,Pagor,Cueibet,Lakes,7.02099,29.2327633
RRB,PRI,Rorbar Primary School,Pagor,Cueibet,Lakes,7.0689898,29.4190323
JLJ,PRI,Joljo Primary School,Tiaptiap,Cueibet,Lakes,7.021,29.2322333
RAN,PRI,Arany Primary School,Tiaptiap,Cueibet,Lakes,7.3239506,29.3235445
LUL,PRI,Malualcum Primary School Ii Primary School,Tiaptiap,Cueibet,Lakes,7.021,29.232645
LCT,PRI,Leecitheth Primary School,Amongping,Rumbek Centre,Lakes,6.4928683,29.5746033
ARM,PRI,Alel Riak Math Primary School,Amongping,Rumbek Centre,Lakes,6.9383237,29.4226424
AML,PRI,Amuol Primary School,Amongping,Rumbek Centre,Lakes,7.0429753,30.0174205
CPK,PRI,Cuei-Adukan Primary School,Amongping,Rumbek Centre,Lakes,6.7712951,29.7131417
MNY,PRI,Makur Panyon Primary School,Amongping,Rumbek Centre,Lakes,6.64176,29.511835
AMQ,PRI,Among-Ping Town Primary School,Amongping,Rumbek Centre,Lakes,7.0019821,30.0964504
LWQ,PRI,Mabor Primary School,Amongping,Rumbek Centre,Lakes,6.9916762,30.0422019
KEE,PRI,Keek Primary School,Amongping,Rumbek Centre,Lakes,7.0392648,30.0735057
AMA,PRI,Adol Manyiel Primary School,Amongping,Rumbek Centre,Lakes,6.7530841,29.7444585
MUZ,PRI,Meen Primary School,Amongping,Rumbek Centre,Lakes,7.0335075,30.0734836
AZF,SEC,Ater Magai Secondary School,Amongping,Rumbek Centre,Lakes,6.7713711,29.7121934
AEH,ECD,Akol-Jal Pre-Primary School,Jiir,Rumbek Centre,Lakes,6.7920617,29.7538817
GNX,ECD,Gonzaga Pre-Primary School,Jiir,Rumbek Centre,Lakes,6.8009741,29.6850406
ASK,PRI,Abin-Ajok Primary School,Jiir,Rumbek Centre,Lakes,6.7419624,29.6682259
ARK,PRI,Abarkou Primary School,Jiir,Rumbek Centre,Lakes,6.8374817,29.7241967
BIS,PRI,Bishop Mazzolari Primary,Jiir,Rumbek Centre,Lakes,6.76956,29.6674983
JRC,PRI,Jiir Primary School,Jiir,Rumbek Centre,Lakes,6.8109742,29.6998487
GZG,PRI,Gonzaga Primary School,Jiir,Rumbek Centre,Lakes,6.8015518,29.6853964
SBC,PRI,St Bakhita Primary School,Jiir,Rumbek Centre,Lakes,6.8013017,29.69841
KLJ,PRI,Akoljal Primary School,Jiir,Rumbek Centre,Lakes,6.7892817,29.7569683
JSM,PRI,Majis Primary School,Jiir,Rumbek Centre,Lakes,6.7981083,29.7033033
LUX,ALP,Lui Alp Centre,Malek,Rumbek Centre,Lakes,5.3397097,30.4499309
GMF,PRI,Gum-Dhier Primary School,Malek,Rumbek Centre,Lakes,6.8524246,29.4957289
MDR,PRI,Madol-Akoc Primary Schools,Malek,Rumbek Centre,Lakes,6.8074157,29.6842517
MLN,PRI,Malek Primary School,Malek,Rumbek Centre,Lakes,7.2191509,29.7183138
AKZ,PRI,Akot Primary School,Malek,Rumbek Centre,Lakes,6.8243262,29.4709128
CIG,SEC,Clever Origin Secondary School,Malek,Rumbek Centre,Lakes,6.8212889,29.6860843
OYK,ECD,Matang Pre-School,Matangai,Rumbek Centre,Lakes,6.826145,29.6503667
LQF,ECD,Loreto Maker-Kuei Nursery School,Matangai,Rumbek Centre,Lakes,6.8434367,29.6236117
LMA,PRI,Lia Mabui Primary School,Matangai,Rumbek Centre,Lakes,6.8227799,29.67074
CMP,PRI,Rumbek Complex Primary,Matangai,Rumbek Centre,Lakes,6.7910533,29.6956033
PYM,PRI,Panekar Primary School,Matangai,Rumbek Centre,Lakes,6.7336771,29.6454038
HNP,PRI,Chengpath Priamry School,Matangai,Rumbek Centre,Lakes,6.8521321,29.6591147
GYS,PRI,Mathiangic Primary School,Matangai,Rumbek Centre,Lakes,6.6234456,29.9044786
XXR,PRI,Mabor - Tit Primary School,Matangai,Rumbek Centre,Lakes,6.7495086,29.645702
BRC,PRI,Aber Primary School,Matangai,Rumbek Centre,Lakes,6.8696379,29.5800714
YOR,PRI,Young Orphan Primary,Matangai,Rumbek Centre,Lakes,6.8317919,29.6608177
ACI,PRI,Adol Ciluit Primary School,Matangai,Rumbek Centre,Lakes,6.8249407,29.6087437
LRT,PRI,Loreto Maker Kuei Primary,Matangai,Rumbek Centre,Lakes,6.8453552,29.6241236
MTA,PRI,Matangai Primary School,Matangai,Rumbek Centre,Lakes,6.8267567,29.6503833
CTS,PRI,Choloc-Chok Primary School,Matangai,Rumbek Centre,Lakes,6.8188167,29.6486
MHL,PRI,Mathiang Dhiel Primary School,Matangai,Rumbek Centre,Lakes,6.7777678,29.6444396
MAV,PRI,Majok Primary School,Matangai,Rumbek Centre,Lakes,6.7510087,29.5637796
QHP,PRI,Nyang-Kot Primary School,Matangai,Rumbek Centre,Lakes,6.8619459,29.6752143
AQO,PRI,Amer Yol Primary,Matangai,Rumbek Centre,Lakes,6.8540383,29.622733
KVV,PRI,Kaduna Nursery And Primary School,Matangai,Rumbek Centre,Lakes,6.900415,29.6471817
LIR,SEC,Loreto Secondary Girls,Matangai,Rumbek Centre,Lakes,6.8425157,29.625558
BMM,SEC,Bishop Mazzolari Memorial School,Matangai,Rumbek Centre,Lakes,6.8152417,29.6679483
UKL,SEC,Abukloi Secondary School,Matangai,Rumbek Centre,Lakes,6.831352,29.655439
LSR,SEC,La Salle Secondary School?ï,Matangai,Rumbek Centre,Lakes,6.8662388,29.5909008
MTX,PRI,Mathur Primary School,Mayom,Rumbek Centre,Lakes,6.7968992,29.4909977
PNG,PRI,Pan-Manga Primary School,Mayom,Rumbek Centre,Lakes,6.9017587,29.5427907
MUW,PRI,Mayom Primary School,Mayom,Rumbek Centre,Lakes,6.8875525,29.54098
LLK,PRI,Lila Primary School,Mayom,Rumbek Centre,Lakes,6.8331134,29.4770443
MKZ,PRI,Makuac-Abeb Primary School,Mayom,Rumbek Centre,Lakes,6.8402883,29.51511
IXE,PRI,Mayom Mixed Primary School,Mayom,Rumbek Centre,Lakes,7.7322083,30.2474583
GPV,PRI,Guau Primary School,Mayom,Rumbek Centre,Lakes,6.7635846,29.4333433
WDM,PRI,War Majak Dhiath Primary School,Mayom,Rumbek Centre,Lakes,6.9025453,29.541641
PLX,PRI,Pulbet Primary School,Mayom,Rumbek Centre,Lakes,6.6703,29.416983
WPM,PRI,War Matur Primary School,Mayom,Rumbek Centre,Lakes,6.8671833,29.5121467
AYG,PRI,Mayom Girls Primary School,Mayom,Rumbek Centre,Lakes,6.8820741,29.5464424
BSG,PRI,Bishop Ceasar Maggalari Nur And Pri School,Mayom,Rumbek Centre,Lakes,6.960775,29.500265
FUN,ECD,Foundation Nursery School,Rumbek Town,Rumbek Centre,Lakes,6.7939762,29.6935216
FUB,ECD,Future Generation Pre-Primary School,Rumbek Town,Rumbek Centre,Lakes,6.8084783,29.680185
RUO,ECD,Rumbek Rca Pre-Primary School,Rumbek Town,Rumbek Centre,Lakes,6.81385,29.6777983
AGU,PRI,Ager Gum Primary School,Rumbek Town,Rumbek Centre,Lakes,6.8120392,29.6682892
RUM,PRI,Rumbek Comboni Primary School,Rumbek Town,Rumbek Centre,Lakes,6.8125158,29.667934
FUD,PRI,Foundation Primary,Rumbek Town,Rumbek Centre,Lakes,6.7936892,29.6936308
MQI,PRI,Bishop Daniel Deng Majak Primary School,Rumbek Town,Rumbek Centre,Lakes,6.7958168,29.668442
REK,PRI,Rumbek 1 Ecs Primary School,Rumbek Town,Rumbek Centre,Lakes,6.81674,29.6940183
RTW,PRI,Rumbek Town Primary School,Rumbek Town,Rumbek Centre,Lakes,6.798715,29.679235
DEH,PRI,Deng Nhial Primary School,Rumbek Town,Rumbek Centre,Lakes,6.8236217,29.6764583
FUG,PRI,Future Generation Primary School,Rumbek Town,Rumbek Centre,Lakes,6.8090257,29.6795166
SUB,PRI,Sun-Rise Nursery And Primary School,Rumbek Town,Rumbek Centre,Lakes,6.8042763,29.645582
PNS,PRI,Panda Primary School,Rumbek Town,Rumbek Centre,Lakes,6.8040625,29.6557672
UNO,PRI,Unity Primary School,Rumbek Town,Rumbek Centre,Lakes,6.80984,29.6600333
ASC,PRI,Apeet Primary School School,Rumbek Town,Rumbek Centre,Lakes,6.7752695,29.4994543
MBW,PRI,Mabor-Ngap Primary School,Rumbek Town,Rumbek Centre,Lakes,6.8171297,29.6819476
RRL,PRI,Rumbek Girls Primary School,Rumbek Town,Rumbek Centre,Lakes,6.7977155,29.6807845
TYA,PRI,Tayau Primary School,Rumbek Town,Rumbek Centre,Lakes,6.7890441,29.6866623
SGH,SEC,Savanah High School,Rumbek Town,Rumbek Centre,Lakes,6.7895833,29.675835
RTN,SEC,Rumbek National Secondary,Rumbek Town,Rumbek Centre,Lakes,6.8014564,29.6863568
NJH,SEC,Nine July Secondary School,Rumbek Town,Rumbek Centre,Lakes,6.8075339,29.6844077
RMX,SEC,Rumbek Town S. S,Rumbek Town,Rumbek Centre,Lakes,6.7948055,29.6930263
DZB,SEC,Dr. Garang Secondary School,Rumbek Town,Rumbek Centre,Lakes,6.8170111,29.6687525
LDH,SEC,Land Mark High School,Rumbek Town,Rumbek Centre,Lakes,6.7885612,29.7021041
GFB,ECD,Goodlife Nursery School,Aduel,Rumbek East,Lakes,6.561395,29.8629333
WAC,PRI,Awach Primary,Aduel,Rumbek East,Lakes,6.5186717,29.8086767
ASB,PRI,Abinkuac Girls Primary School,Aduel,Rumbek East,Lakes,6.5353817,29.8498767
BRF,PRI,Bar-Aliap Primary School,Aduel,Rumbek East,Lakes,6.5943317,29.8786633
ECS,PRI,E.C.S Dhiau Kuei Primary School,Aduel,Rumbek East,Lakes,6.5760183,29.8289183
MDU,PRI,Mabor Duang Primary School,Aduel,Rumbek East,Lakes,6.4740483,29.7957733
KLV,PRI,Kolcum Primary School,Aduel,Rumbek East,Lakes,6.47499,29.7961533
MJP,PRI,Majakjier Primary School,Aduel,Rumbek East,Lakes,6.5604796,29.8499188
DUE,PRI,Aduel Primary,Aduel,Rumbek East,Lakes,6.62476,29.8995367
ETH,PRI,Ameth Agok Primary School,Akot,Rumbek East,Lakes,6.570576,29.976932
LIV,PRI,Living Water Primary,Akot,Rumbek East,Lakes,6.5422557,30.027701
MMB,PRI,Makur Agar Comboni Primary School,Akot,Rumbek East,Lakes,6.5424559,30.027701
AUT,PRI,Abundant Life Primary,Akot,Rumbek East,Lakes,6.5503844,30.025611
KTC,PRI,Akot Primary School,Akot,Rumbek East,Lakes,6.5452445,30.0360082
TTG,PRI,Titagok Primary School,Atiaba,Rumbek East,Lakes,6.5936531,29.9178542
TAB,PRI,Atiaba Primary School,Atiaba,Rumbek East,Lakes,6.5618769,29.9933834
LOH,PRI,Malath Joseph Lueth,Atiaba,Rumbek East,Lakes,6.6234456,29.9044786
SOD,PRI,St Mary Ayen Primary School,Atiaba,Rumbek East,Lakes,6.6251118,29.9015864
MTR,PRI,Mathiangic Primary School,Atiaba,Rumbek East,Lakes,6.5992471,29.9135163
PNO,PRI,Pancuai Primary,Atiaba,Rumbek East,Lakes,6.5618769,29.9933834
MBX,PRI,Maboric Primary School,Atiaba,Rumbek East,Lakes,6.6251118,29.9015864
ALD,PRI,Adol Primary School,Atiaba,Rumbek East,Lakes,6.6240835,29.9037556
DNS,PRI,Dongic Primary School,Atiaba,Rumbek East,Lakes,6.5675719,29.9829058
HPC,SEC,Hope And Ressurrection Sec. School,Atiaba,Rumbek East,Lakes,6.6037866,29.920746
COK,ECD,Cuei-Cok Pre School,Cueicok,Rumbek East,Lakes,6.7241037,29.7464386
PSK,ECD,Pacong Pre-Primary School,Cueicok,Rumbek East,Lakes,6.6967268,29.7792304
MBQ,PRI,Mabor Ngap (One),Cueicok,Rumbek East,Lakes,6.7561648,29.7609268
MSK,PRI,Malou Millitary Primary School,Cueicok,Rumbek East,Lakes,6.6908133,29.6611256
MPT,PRI,Monyeng Patir Primary School,Cueicok,Rumbek East,Lakes,6.7387611,29.733147
SVX,PRI,St. Joseph Primary & Nursery School,Cueicok,Rumbek East,Lakes,6.6964543,29.6593842
CEC,PRI,Cueicok Primary School,Cueicok,Rumbek East,Lakes,6.7242368,29.7464126
OMB,PRI,Pacong Comboni Primary School,Cueicok,Rumbek East,Lakes,6.6825773,29.7857181
AYK,PRI,Ayen Kook Primary School,Cueicok,Rumbek East,Lakes,6.5957787,29.7614307
WAV,PRI,War Nyinyam Primary School,Cueicok,Rumbek East,Lakes,6.7332719,29.7923161
BLF,PRI,Bilingcok Primary School,Cueicok,Rumbek East,Lakes,6.7385613,29.7631743
NHB,PRI,Nhiak Primary School,Cueicok,Rumbek East,Lakes,6.7107034,29.7208449
PBL,PRI,Pan Barkou Primary School,Maleng Agok,Rumbek East,Lakes,6.7073746,29.7644504
GRO,PRI,Gorok Primary,Maleng Agok,Rumbek East,Lakes,6.6664557,29.7624187
PIR,PRI,Panbarkou Girls Primary School,Maleng Agok,Rumbek East,Lakes,6.707392,29.7644901
PXF,PRI,Malual Primary School,Maleng Agok,Rumbek East,Lakes,6.6064592,29.7173206
MLT,PRI,Malengagok Primary School,Maleng Agok,Rumbek East,Lakes,6.7075853,29.7645244
KOO,PRI,Mayom Kook Primary School,Mathiang,Rumbek East,Lakes,6.4144354,29.7486681
PLS,PRI,Pul-Ajil Girls Primary School,Mathiang,Rumbek East,Lakes,6.6136315,29.7558001
BZX,PRI,Billing-Agol Primary School,Mathiang,Rumbek East,Lakes,6.4699395,29.7508648
LYS,PRI,Long-Ameth Primary School,Mathiang,Rumbek East,Lakes,6.634869,29.7876813
CLC,PRI,Colock-Cok Primary School,Mathiang,Rumbek East,Lakes,6.6039082,29.7474072
MRB,PRI,Amer Primary School,Mathiang,Rumbek East,Lakes,6.6307496,29.7681726
MOO,PRI,Mathiang Kook Primary School,Mathiang,Rumbek East,Lakes,6.6248401,29.7438054
DRD,PRI,Adirdir Primary School,Pacong,Rumbek East,Lakes,6.6778962,29.8265418
PCN,PRI,Pacong Primary School,Pacong,Rumbek East,Lakes,6.6970012,29.7796096
PNF,PRI,Pan-Awac Primary School,Pacong,Rumbek East,Lakes,6.6766681,29.8137295
AKO,PRI,Akor Kor Primary,Pacong,Rumbek East,Lakes,6.7089918,29.813537
LRI,PRI,Ateriu Primary School,Pacong,Rumbek East,Lakes,6.6598739,29.8008069
OGO,PRI,Malou Primary School,Paloch,Rumbek East,Lakes,6.76655,30.1029783
JYT,PRI,Muokeer Primary School,Paloch,Rumbek East,Lakes,6.7672633,30.1025967
AJD,PRI,Ajak Dut Primary School,Paloch,Rumbek East,Lakes,6.7670817,30.10189
PLH,PRI,Paloch Primary School,Paloch,Rumbek East,Lakes,6.76866,30.1025267
JLI,PRI,Joklei Primary School,Paloch,Rumbek East,Lakes,6.7669542,30.1027656
WWT,PRI,War Thiang Primary School,Paloch,Rumbek East,Lakes,6.7664467,30.104485
PQM,PRI,Paach Primary School,Paloch,Rumbek East,Lakes,6.8347517,30.09824
MYQ,PRI,Mayom Primary School,Paloch,Rumbek East,Lakes,6.7660367,30.1055667
CHU,PRI,Mayom Primary School,Aloor,Rumbek North,Lakes,7.759817,29.723833
PXK,PRI,Pok Primary School,Aloor,Rumbek North,Lakes,7.3682322,29.730408
LRD,PRI,Aloor Primary School,Aloor,Rumbek North,Lakes,7.710683,29.715851
VBP,PRI,Rumkor Primary School,Aloor,Rumbek North,Lakes,7.62075,29.719816
ENH,PRI,Amenh-Chek Primary School,Aloor,Rumbek North,Lakes,7.3392331,29.6998107
BIA,PRI,Biar Primary School,Madol,Rumbek North,Lakes,7.694744,29.7199807
MKY,PRI,Makuac Primary School,Madol,Rumbek North,Lakes,7.70167,29.733975
CFQ,PRI,Panhiam-Achot Primary School,Madol,Rumbek North,Lakes,7.671645,29.7987583
HNY,PRI,Thony-Dor Girls Primary School,Malueth,Rumbek North,Lakes,7.716228,29.6285255
CEK,PRI,Aciek Primary School,Malueth,Rumbek North,Lakes,6.8207252,29.6802603
KGR,PRI,Kak Girls Primary School,Malueth,Rumbek North,Lakes,7.659975,29.655425
MHQ,PRI,Malueth Primary School,Malueth,Rumbek North,Lakes,7.6496333,29.6432417
ABN,PRI,Abuoth Primary School,Malueth,Rumbek North,Lakes,7.6881652,29.6328862
YUD,PRI,Yun - Yiith Primary School,Malueth,Rumbek North,Lakes,7.5752267,29.665495
